,hierarchy_level,job_field,job_since,years_at_job,company2,hierarchy_level2,job_field2,school,approx_work_xp
103,Director, ,mai 2021 ,1,Criteo,Intern,Finance,Université Paris Dauphine,19
104,Employee,Account Strategist,mai 2021 ,1,Criteo,Employee,Account Strategist,SKEMA,1
105,Employee,IT/Data,oct. 2021 ,1,other company,Employee,IT,EPITA,6
106,Employee,Account Strategist,avr. 2014 ,8,other company,Employee,Marketing,ppa business school,11
107,VP,Business,mai 2018 ,4,other company,Director,Finance,HEC,17
108,Manager,Business,juil. 2021 ,1,Criteo,Partner,Marketing,polytech'tours,10
109,Lead, ,sept. 2019 ,3,other company,Employee,IT/Data,supinfo international university,10
110,Employee,Account Strategist,août 2021 ,1,other company,Employee,Consultant,IESEG,2
111,Director,Business,mars 2020 ,2,Criteo,Head,Business,école de biologie industrielle,19
112,Employee,HR,mars 2016 ,6,other company,Employee,Finance,université paris-est créteil (upec),12
113,Manager,IT/Data,avr. 2018 ,4,Criteo,Lead,IT/Data,kth royal institute of technology,16
114,Manager,Finance,janv. 2017 ,5,Criteo,Manager,Finance,Université Paris Panthéon-sorbonne,8
115,Employee,HR,mai 2019 ,3,other company,Employee,HR,toulouse school of management,14
116,VP,Finance,avr. 2021 ,1,Criteo,Senior,Finance,certificat d'aptitude à la profession d'avocat,15
117,Senior, ,avr. 2021 ,1,Criteo,Employee,Finance,management center innsbruck,6
118,Senior,Account Strategist,avr. 2017 ,5,other company,Manager,Product,esc toulouse,7
119,Senior, ,mars 2017 ,5,other company,Employee,IT,HEC,8
120,Internship,Business,juil. 2021 ,1,other company,Employee,Business,SUPELEC,1
121,Employee,Legal,juil. 2019 ,3,other company,Manager,Legal,ESSEC,11
122,Senior,Account Strategist,oct. 2021 ,1,Criteo,Employee,Account Strategist,KEDGE,3
123,Employee,Business,sept. 2021 ,1,other company,Chief,HR,Université Paris Dauphine,1
124,Senior,Account Strategist,avr. 2021 ,1,Criteo,Employee,Account Strategist,KEDGE,5
125,Manager,IT/Data,janv. 2020 ,2,Criteo,Employee,IT,louis armand,24
126,Employee,Legal,janv. 2021 ,1,other company,Employee,other,admission to the paris bar (capa-avocat),25
127,Intern,Finance,sept. 2020 ,2,other company,Employee,Finance,PSB,1
