,company,hierarchy_level,job_field,job_since,years_at_job,company2,hierarchy_level2,job_field2,school,job2_start,job2_end2,job2_duration,approx_work_xp
149,other,Manager,Business,2020,2,other,Employee,IT/Data,sciences po,2020,2020,0,5
150,other,Manager,Finance,2021,1,Criteo,Lead,IT,KEDGE,2020,2021,1,6
151,other,Manager,IT/Data,2021,1,other,Manager,IT/Data,audencia nantes ecole de management,2020,2021,1,12
152,other,Manager,HR,2019,3,other,Employee,Finance,ifocop - institut de formation professionnelle,2018,2018,0,7
153,other,Senior,Account Strategist,2018,4,Criteo,Employee,Account Strategist,esce,2016,2018,2,9
154,other,Manager,HR,2021,1,other,Senior,HR,vancouver island university,2020,2020,0,-1
155,other,Lead,HR,2021,1,other,Head,Business,HEC,2019,2021,2,10
156,other,VP,Operations,2021,1,other,VP,Business,ESSEC,2019,2021,2,20
157,other,Senior,IT/Data,2021,1,other,Senior,Business,haute école de coaching,2014,2021,7,1
158,other,Head,Business,2020,2,other,Employee,Business,esgc&f,2019,2020,1,6
159,other,Senior,Marketing,2021,1,other,Manager,Marketing,università bocconi,2020,2021,1,7
160,other,Employee,Business,2021,1,Criteo,Employee,Account Strategist,ESSCA,2019,2020,1,3
161,other,Employee,Account Strategist,2021,1,other,Manager,Business,ipag business school,2021,2021,0,7
162,other,Lead,Marketing,2021,1,other,Senior,HR,icn business school,2019,2021,2,8
163,other,Director,Product,2020,2,other,Employee,IT/Data,GEM,2020,2020,0,14
164,Criteo,Employee,IT/Data,2017,5,other,Employee,Business,ESCP,2016,2016,0,6
165,other,Manager,Business,2021,1,other,Employee,Business,supdeweb,2020,2021,1,5
166,other,Founder,Business,2015,7,Criteo,Employee,other,Mines,2014,2015,1,22
167,other,Senior,Consultant,2019,3,other,Senior,Business,nicholls state university,2018,2019,1,13
168,other,Head,Marketing,2020,2,other,Head,Business,neoma business school,2018,2020,2,14
169,other,CXO,Finance,2016,6,other,Director,Marketing,SKEMA,2015,2016,1,16
170,other,Lead,Product,2021,1,other,Manager,Product,sciences po,2021,2021,0,6
171,other,Lead,Product,2021,1,other,Senior,Product,télécom paristech,2019,2021,2,9
172,other,Senior,Marketing,2021,1,Criteo,Senior,Marketing,"business school iae, nice, france",2019,2021,2,12
173,other,Employee,HR,2021,1,Criteo,Employee,Business,ecole de management de normandie,2019,2021,2,1
174,other,Manager,Marketing,2020,2,Criteo,Employee,other,edc paris business school,2017,2020,3,15
175,other,Manager,IT/Data,2020,2,Criteo,Manager,Marketing,telecom paristech,2018,2020,2,11
176,other,Manager,other,2021,1,other,Employee,Consultant,idrac ecole supérieure de commerce en alternance,2018,2021,3,13
177,other,CXO,Operations,2021,1,other,CXO,Business,Université Paris Dauphine,2019,2021,2,16
178,other,Manager,Business,2019,3,other,Employee,IT,ebs - european business school paris,2018,2019,1,6
179,other,Head,Marketing,2019,3,other,Director,IT,negocia aci business school,2018,2019,1,26
180,other,Founder,Business,2019,3,Criteo,Employee,Product,HEC,2016,2017,1,4
181,other,CXO,IT/Data,2019,3,other,Manager,IT/Data,epitech - european institute of technology,2017,2022,5,12
182,other,Manager,Business,2022,0,other,Lead,IT,north carolina state university,2021,2022,1,9
183,other,Manager,Business,2021,1,other,Manager,Business,rennes school of business,2019,2020,1,8
184,other,Head,Product,2021,1,Criteo,Manager,Product,SUPELEC,2020,2021,1,5
185,other,Founder,Business,2020,2,other,Founder,Business,duke fuqua school of business,2021,2022,1,10
186,other,Head,Product,2022,0,other,Manager,Product,ecole centrale paris,2020,2021,1,6
187,other,Lead,Product,2020,2,other,Founder,Business,utbm,2016,2022,6,16
188,other,Manager,Product,2021,1,other,Senior,Product,SUPELEC,2020,2021,1,10
189,other,Employee,IT/Data,2021,1,other,Employee,IT/Data,ecole polytechnique,2021,2021,0,7
190,other,Manager,IT/Data,2021,1,other,Head,Product,iae france - ecoles universitaires de management,2018,2021,3,14
191,other,Manager,Marketing,2021,1,other,Manager,Marketing,ebs paris - european business school,2019,2021,2,6
192,other,Founder,Business,2017,5,Criteo,Senior,other,ecole centrale de marseille,2015,2016,1,13
193,other,Founder,Business,2018,4,other,Employee,IT/Data,télécom paris,2017,2022,5,-1
194,other,CXO,Business,2020,2,other,CXO,Business,SUPELEC,2019,2022,3,9
195,other,CXO,Board/CEO,2018,4,other,Employee,other,université paris-saclay,2015,2022,7,4
196,other,CXO,Business,2009,13,other,VP,Marketing,unknown,2008,2022,14,-1
197,other,CXO,Business,2021,1,other,Employee,Board/CEO,INSEAD,2016,2022,6,7
198,other,Employee,Consultant,2020,2,Criteo,Employee,HR,neoma business school,2021,2022,1,7
199,other,CXO,HR,2021,1,Criteo,VP,HR,groupe igs,2020,2022,2,23
200,other,Manager,Business,2019,3,other,Employee,other,SKEMA,2021,2022,1,9
201,Criteo,Employee,Account Strategist,2017,5,other,Senior,Marketing,"university of california, los angeles",2016,2022,6,8
202,other,Employee,other,2020,2,other,Employee,other,aix-marseille université,2020,2022,2,13
203,other,Manager,Operations,2021,1,other,Manager,Business,école des ponts paristech,2020,2022,2,6
204,other,CXO,HR,2020,2,other,Founder,Business,Université Paris Panthéon-sorbonne,2015,2022,7,16
205,other,CXO,Board/CEO,2020,2,other,Founder,Business,sciences po,2017,2022,5,9
206,other,Head,Product,2020,2,other,Employee,other,HEC,2019,2022,3,9
207,other,Head,HR,2018,4,other,CXO,HR,Université Paris Panthéon-sorbonne,2016,2022,6,10
208,other,Manager,Business,2021,1,other,Director,Business,HEC,2015,2022,7,1
209,Criteo,Employee,IT/Data,2017,5,other,Manager,IT,polytech nantes,2012,2022,10,13
210,other,CXO,Business,2021,1,other,Employee,Board/CEO,SKEMA,2017,2022,5,21
211,other,Head,Business,2021,1,other,Senior,Business,GEM,2018,2022,4,7
212,other,CXO,HR,2019,3,other,Employee,other,Université Paris Panthéon-sorbonne,2018,2022,4,15
213,other,Founder,Business,2019,3,Criteo,Head,Business,unknown,2018,2022,4,-1
214,other,Manager,Product,2016,6,other,CXO,IT/Data,école polytechnique,2015,2022,7,11
215,other,Employee,HR,2019,3,other,Employee,other,uvsq université de versailles saint-quentin-en-yvelines,2019,2022,3,12
216,other,President,other,2020,2,other,Employee,other,inasup,2018,2022,4,18
217,Criteo,Senior,Quality,2020,2,other,Senior,IT/Data,SUPELEC,2018,2022,4,6
218,other,Director,Quality,2020,2,other,Director,HR,unknown,2020,2022,2,-1
219,other,Employee,other,2021,1,other,CXO,Board/CEO,wine & spirit education trust,2020,2022,2,0
220,other,Employee,other,2021,1,other,Employee,Business,HEC,2018,2022,4,2
221,other,Head,Finance,2020,2,Criteo,Lead,IT,ecole supérieure de commerce de bordeaux-ecole de management,2018,2022,4,12
222,other,Head,IT/Data,2020,2,other,Senior,Marketing,Université Paris Dauphine,2020,2022,2,11
223,other,Employee,Business,2015,7,other,Employee,Business,omnes education,2013,2022,9,-1
224,other,Director,HR,2021,1,other,Director,HR,arts et métiers paristech - école nationale supérieure d'arts et métiers,2021,2022,1,11
225,other,Head,HR,2020,2,other,Employee,other,omnes education,2020,2022,2,9
226,other,Manager,Operations,2021,1,Criteo,Lead,IT,ESCP,2019,2022,3,11
227,other,Director,Product,2021,1,other,Director,Product,stanford university graduate school of business,2020,2022,2,9
228,other,Employee,IT/Data,2019,3,other,Employee,IT/Data,estice - international management,2019,2022,3,6
